state_fips,state_abbr,zcta,house_district
04,AZ,85304,08
04,AZ,85305,03
04,AZ,85305,07
04,AZ,85305,08
04,AZ,85306,08
04,AZ,85307,03
04,AZ,85307,08
04,AZ,85308,06
04,AZ,85308,08
04,AZ,85309,08
04,AZ,85310,06
04,AZ,85310,08
04,AZ,85320,04
04,AZ,85321,03
04,AZ,85322,03
04,AZ,85323,03
04,AZ,85323,07
04,AZ,85323,08
04,AZ,85324,04
04,AZ,85325,04
04,AZ,85326,03
04,AZ,85326,04
04,AZ,85328,04
04,AZ,85331,04
04,AZ,85331,06
04,AZ,85331,08
04,AZ,85332,04
04,AZ,85333,03
04,AZ,85333,04
04,AZ,85334,04
04,AZ,85335,08
04,AZ,85336,03
04,AZ,85337,03
04,AZ,85338,03
04,AZ,85338,08
04,AZ,85339,01
04,AZ,85339,03
04,AZ,85339,07
04,AZ,85340,03
04,AZ,85340,04
04,AZ,85340,08
04,AZ,85341,03
04,AZ,85342,04
04,AZ,85342,08
04,AZ,85343,03
04,AZ,85344,04
04,AZ,85345,08
04,AZ,85346,04
04,AZ,85347,03
04,AZ,85347,04
04,AZ,85348,04
04,AZ,85349,03
04,AZ,85350,03
04,AZ,85351,08
04,AZ,85352,04
04,AZ,85353,03
04,AZ,85353,07
04,AZ,85354,03
04,AZ,85354,04
04,AZ,85355,04
04,AZ,85355,08
04,AZ,85356,04
04,AZ,85357,04
04,AZ,85360,04
04,AZ,85361,04
04,AZ,85361,08
04,AZ,85362,04
04,AZ,85363,08
04,AZ,85364,03
04,AZ,85364,04
04,AZ,85365,03
04,AZ,85365,04
04,AZ,85367,04
04,AZ,85371,04
04,AZ,85373,08
04,AZ,85374,08
04,AZ,85375,08
04,AZ,85377,06
04,AZ,85379,08
04,AZ,85381,08
04,AZ,85382,08
04,AZ,85383,04
04,AZ,85383,08
04,AZ,85387,04
04,AZ,85387,08
04,AZ,85388,04
04,AZ,85388,08
04,AZ,85390,04
04,AZ,85392,03
04,AZ,85392,08
04,AZ,85395,03
04,AZ,85395,08
04,AZ,85396,03
04,AZ,85396,04
04,AZ,85396,08
04,AZ,85501,01
04,AZ,85501,04
04,AZ,85530,01
04,AZ,85531,01
04,AZ,85533,01
04,AZ,85534,01
04,AZ,85535,01
04,AZ,85536,01
04,AZ,85539,01
04,AZ,85539,04
04,AZ,85540,01
04,AZ,85541,04
04,AZ,85542,01
04,AZ,85543,01
04,AZ,85544,04
